numero,cliente,nif,fecha,total,estado
IA-382023EA,Construcciones Garcia S.L.,B87654321,2026-03-15,605.0,draft
IA-52D13C54,Construcciones Garcia S.L.,B87654321,2026-03-15,605.0,draft
IA-41F002F5,Construcciones Garcia S.L.,B87654321,2026-03-15,605.0,draft
IA-9E41C3D0,Construcciones Garcia S.L.,B87654321,2026-03-15,605.0,draft
IA-D3148979,Construcciones Garcia S.L.,B87654321,2026-03-15,605.0,draft
IA-80EE50E3,Orbital Analytics S.L.,B78451239,2026-03-12,1149.5,draft
IA-6A213119,Artemis Arquitectura S.L.,B39874125,2026-03-10,5445.0,draft
IA-C4B2800E,Artemis Arquitectura S.L.,B39874125,2026-03-10,5445.0,draft
IA-5D4787E7,Artemis Arquitectura S.L.,B39874125,2026-03-10,5445.0,draft
IA-2D4CA328,Artemis Arquitectura S.L.,B39874125,2026-03-10,5445.0,draft
IA-ED0509E2,EcoMarket Distribuciones S.L.,B74215963,2026-03-08,1028.5,draft
IA-4CBA6D02,EcoMarket Distribuciones S.L.,B74215963,2026-03-07,1028.5,draft
IA-149BE100,Digital Growth Agency S.L.,B45981236,2026-03-06,1149.5,draft
IA-FB846226,ACME S.L.,B60249562,2026-03-05,5203.0,draft
IA-48421538,Inversiones Solares SL,B12345678,2026-03-05,2420.0,draft
