numero,cliente,nif,fecha,total,estado
FAC-2026-0013,Tech Solutions SL,B60249562,2026-03-10,6655.0,draft
FAC-2026-0012,Tech Solutions SL,B60249562,2026-03-10,6655.0,draft
FAC-2026-0011,Tech Solutions SL,B60249562,2026-03-10,6655.0,draft
FAC-2026-0010,Tech Solutions SL,B60249562,2026-03-10,6655.0,draft
FAC-2026-0009,Tech Solutions SL,B60249562,2026-03-10,6655.0,draft
FAC-2026-0008,Tech Solutions SL,B60249562,2026-03-10,6655.0,draft
FAC-2026-0007,Tech Solutions SL,B60249562,2026-03-10,6655.0,draft
,Tech Solutions SL,B60249562,2026-03-08,2904.0,draft
FAC-2026-0005,Tech Solutions SL,B60249562,2026-03-06,6655.0,draft
FAC-2026-0004,Tech Solutions SL,B60249562,2026-03-06,6655.0,draft
,Tech Solutions SL,B60249562,2026-03-04,2904.0,draft
,Tech Solutions SL,B60249562,2026-03-04,2904.0,draft
,Tech Solutions SL,B60249562,2026-03-04,2904.0,draft
