numero,cliente,nif,fecha,total,estado
IA-79F66A2E,ACME Corp,A12345678,2026-03-06,2196.15,draft
IA-C3A55BE4,ACME Corp,A12345678,2026-03-06,2196.15,draft
IA-0EA9EE74,ACME Corp,A12345678,2026-03-06,2657.34,draft
IA-5DD84CE8,ACME Corp,A12345678,2026-03-06,2657.34,draft
IA-19A76AA3,ACME Corp,A12345678,2026-03-06,2657.34,draft
IA-65E41EDB,ACME Corp,A12345678,2026-03-06,2657.34,draft
IA-2B0DD387,ACME Corp,A12345678,2026-03-06,3215.38,draft
IA-2171B7B9,ACME Corp,A12345678,2026-03-06,3215.38,draft
IA-1384899E,ACME Corp,A12345678,2026-03-06,3215.38,draft
IA-77D2F0DD,ACME Corp,A12345678,2026-03-06,3215.38,draft
IA-2995B013,ACME Corp,A12345678,2026-03-06,3215.38,draft
IA-88769BC7,ACME Corp,A12345678,2026-03-06,3215.38,draft
IA-14704306,ACME Corp,A12345678,2026-03-06,3215.38,draft
IA-29F5BF3D,ACME Corp,A12345678,2026-03-06,3215.38,draft
IA-F3E2AF09,ACME Corp,A12345678,2026-03-06,1815.0,draft
