numero,cliente,nif,fecha,total,estado
REC-20260309222728,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0042,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309221632,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0039,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309221338,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0036,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309221144,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0033,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309112628,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0030,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
