numero,cliente,nif,fecha,total,estado
REC-20260309103757,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-2026-0012,Industrias Prueba SL,B12345001,2026-03-09,4235.0,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309103528,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309103047,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309103021,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309102415,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
REC-20260309060638,Industrias Prueba SL,B12345001,2026-03-09,695.75,draft
FAC-TEST-001,Industrias Prueba SL,B12345001,2026-03-09,3726.8,paid
